x,y,z,class
44.20911026,-27.83534813,1.85307360,1
50.42337036,78.99422455,22.16344261,1
-89.27376556,-25.94163132,-3.74200845,1
95.03684998,72.09603882,4.78189564,1
-170.37084961,139.29244995,-7.14128256,3
91.03215027,59.34105682,35.65187454,1
-57.55209732,-51.88256073,-2.41235948,1
134.98727417,-43.83596802,5.65814066,3
-83.21247101,164.50886536,-3.48794270,3
-102.51384735,-30.71990395,-4.29698133,1
23.26346970,-51.24462891,31.30171967,1
79.48894501,87.46669006,33.65847015,1
-11.07409000,-72.16964722,27.71925735,1
-34.57158279,32.72317123,0.55264997,1
-25.41369438,91.06471252,-1.06524324,3
26.71538544,171.55682373,1.11980462,3
178.82714844,-16.11386871,7.49573755,3
140.18173218,-130.70085144,5.87587214,3
182.24949646,-18.13887978,7.63918877,3
-77.72602081,-35.66326141,-3.25797176,1
-10.80860901,-57.53658676,3.93065166,1
-143.88253784,2.66273427,-6.03099537,3
-160.97413635,-125.06082153,-6.74740887,3
52.47288132,16.95961380,4.20121479,1
-34.53679276,62.32950592,0.55410850,1
-14.03833771,-12.30207157,-0.58843243,1
162.70805359,96.25601959,6.82008791,3
-10.97739124,-62.42866898,25.90766525,1
79.01702881,33.84802628,3.31208611,1
-5.34832096,-145.41531372,-0.22418064,3
-3.89517879,185.12916565,-0.16327088,3
-14.84880257,-72.16642761,31.40569687,1
-40.61973953,130.34327698,-1.70262146,3
-52.45729828,-70.01322937,4.51964521,1
200.27848816,-153.82710266,8.39489460,3
-192.97544861,-6.86983490,-8.08877850,3
-97.30709076,-61.10003281,9.03247261,1
-118.79296875,-19.62999535,-4.97933865,3
105.26825714,13.06054783,4.41243553,3
-80.62778473,-21.55671310,-1.37784648,1
1.91980529,164.33268738,0.08047066,3
-42.79251480,-31.70944977,0.20806071,1
29.73208237,61.26054382,1.24625313,1
-31.46444130,69.37855530,30.70923233,1
179.78988647,3.62786770,7.53609228,3
-11.60890770,22.62451172,-0.48660022,1
4.18198490,31.83508110,0.17529249,1
105.33735657,151.03099060,4.41533136,3
-16.94495773,170.13867188,-0.71026683,3
120.13768005,-69.20036316,5.03570366,3
-44.48258972,74.62915802,2.13574982,1
31.94471359,38.65685272,1.33899796,1
5.46411419,24.51274681,0.22903436,1
-138.10375977,-20.30128860,-5.78877115,3
5.32908678,43.55207443,0.22337452,1
-100.89614868,-28.92303085,24.90812683,1
-38.16324234,-37.22130203,-1.59965420,1
-55.00097656,43.78916168,-0.30367073,1
-99.39933014,-49.04769135,14.72418404,1
-41.73115921,67.89289856,-1.74920750,1
-21.68932343,48.36471558,29.41747284,1
72.34798431,114.55813599,3.03254557,3
-181.65315247,60.68597794,-7.61419296,3
-55.91623688,-99.48030853,-2.34379077,3
77.55113983,-68.00765991,3.25064158,1
168.49740601,31.68907356,7.06275511,3
-50.16815948,108.54907227,-2.10285378,3
-84.19510651,-138.44218445,-3.52913117,3
-214.35780334,120.48507690,-8.98504448,3
-116.21895599,-45.40939713,-4.87144613,3
41.37710953,54.23381805,32.06097031,1
134.06410217,68.32094574,5.61944437,3
58.21754837,44.69519806,4.44200945,1
-80.46190643,127.09969330,-3.37264991,3
14.47484303,48.67885208,13.57993984,1
-107.05723572,-70.62879944,-4.48742199,3
-51.27879715,-8.07486534,-2.14940739,1
-107.06012726,-2.68718958,27.38017082,1
45.41919708,174.17730713,1.90379560,3
-40.21533585,-72.44613647,30.34243011,1
63.68778610,5.80946922,2.66954398,1
71.29886627,-12.71368217,2.98857069,1
-152.82202148,126.37950134,-6.40570354,3
-157.14688110,29.45241165,-6.58698511,3
196.40193176,-71.21908569,8.23240471,3
124.68463135,155.37106323,5.22629356,3
-118.43755341,-208.66120911,-4.96444035,3
116.69402313,-155.87139893,4.89135933,3
88.36887360,-87.23177338,3.70407867,3
-164.53491211,25.28855324,-6.89666224,3
13.73685265,-160.46246338,0.57579541,3
77.62863922,93.46356201,15.57254601,1
-30.37656212,21.24851036,0.72848898,1
57.15349197,-12.14862061,2.39565206,1
-25.21529579,60.16513062,29.26968002,1
-120.89685822,-27.13435555,-5.06752491,3
62.06790543,34.15640640,4.60340071,1
-178.36672974,-39.18139267,-7.47643948,3
151.51266479,48.02909470,6.35082054,3
161.78170776,111.96799469,6.78125858,3
-24.57510567,182.44079590,-1.03009284,3
169.86885071,-43.90948486,7.12024117,3
106.98075867,-33.19914627,6.48597240,1
-98.75294495,-56.04586029,24.98132706,1
126.67057800,-44.23612213,5.30953741,3
146.11747742,-38.98271561,6.12467480,3
-140.81604004,-126.29424286,-5.90245962,3
136.02218628,-69.52939606,5.70152044,3
89.06794739,-113.77695465,3.73338127,3
