x,y,z,class
19.38118553,-10.14097309,4.37931967,1
30.01826096,9.41349125,0.00000000,1
-36.58198929,3.94245529,0.00000000,1
9.20683956,-50.94295120,17.22194862,2
56.45449448,79.36714935,6.69436932,1
-71.04824066,-48.28333664,4.45407057,1
24.41286850,-0.94342351,0.00000000,1
57.32126617,45.02164841,3.41720295,1
-67.05558014,-57.02942276,7.36816931,1
-22.73237610,-71.73889160,0.00000000,1
37.45790100,1.54711282,0.00000000,1
58.89079285,40.93423843,8.39316940,1
-53.83071899,-83.22882080,17.32896042,1
42.58430862,2.08278108,20.52399445,1
30.01070023,9.47921181,8.00000000,1
-75.74240112,-31.83117485,18.95997047,1
-55.52758789,-77.58845520,0.00000000,1
-55.59046173,-82.60954285,1.51616359,1
-70.10572815,-49.19929504,5.07627010,1
59.56323624,26.67472458,16.24521828,1
-57.21872711,-5.03249741,9.30947399,1
36.11486816,13.05683517,8.00000000,1
-70.62843323,-58.94835663,20.82213402,1
21.27939034,6.73707104,1.91054249,1
45.34889984,18.85807228,19.97223473,1
-45.60442352,-84.83541107,20.30875587,1
4.19070530,44.61108398,8.15506458,1
69.25447083,63.59953308,12.05385303,1
4.84474325,-20.96029282,6.30116940,1
-34.24747086,-75.24367523,0.00000000,1
-54.84895706,-77.36058807,0.00000000,1
91.75749207,77.26916504,4.72833776,1
-0.66825569,-27.49308586,8.77747726,1
-0.01514053,41.81414032,14.21358299,1
19.96964073,-18.55542564,18.72859192,1
-63.83542633,-77.29570007,0.08858446,1
6.11554813,-47.93730164,0.00000000,1
12.81139851,-41.28380585,0.04959432,1
72.11031342,45.54335785,0.00000000,3
36.78945923,49.19520950,20.29735565,1
-65.57450104,-1.78364849,5.74103451,1
-17.31055260,-80.56945801,4.62473917,1
49.02806091,17.98773384,20.99862289,1
4.77677298,-40.36778259,0.00000000,1
45.54335785,-15.18111897,0.00000000,3
58.87105179,78.23339844,0.00000000,1
-18.66385841,29.41250992,16.51846313,1
-13.12232208,-77.76470184,11.51631069,1
-3.79527974,-26.56695938,0.00000000,1
62.20051193,49.86933899,14.23274612,1
51.54580307,57.95262909,4.01783991,1
-45.54335785,-37.95279694,0.00000000,3
77.00894928,92.80467224,11.08517742,1
56.34794617,43.70766068,6.71728992,1
43.14221573,60.49403000,8.29654026,1
-22.77167892,-22.77167892,0.00000000,3
-16.40307808,17.77371025,8.00000000,1
11.82057095,-23.72610855,16.01384735,1
61.97394180,30.29977798,16.91497993,1
46.06329346,33.79077148,8.62329769,1
66.24108887,74.60418701,0.01992754,1
-79.29032898,-15.25619221,3.29954815,1
-40.25929260,15.05127716,18.58767128,1
8.79331589,28.69411469,9.02734566,1
24.83906746,58.34250259,14.19307518,1
66.80184937,61.47329330,12.64893913,1
26.27698898,-8.10881424,9.75456619,1
-5.62235880,-42.52347565,2.42925310,1
43.76619720,60.83475113,12.57953644,1
39.78420258,-3.06762457,15.39870548,1
-33.63348389,-77.23902893,21.00000000,1
-1.51103342,-64.08733368,20.59276199,1
-76.13000488,-43.44232941,19.27604866,1
1.98427594,23.13819313,8.00000000,1
7.69401646,-43.77934647,21.97930336,2
-106.26783752,-45.54335785,0.00000000,3
-4.03951120,26.72823143,11.94423676,1
-25.99315453,4.61282587,8.00000000,1
27.71411896,51.48156738,21.00000000,1
68.31503296,-68.31503296,0.00000000,3
41.17409515,54.98020172,8.00000000,1
6.51169634,-54.31095505,17.22488785,2
34.74914551,53.63726425,0.00000000,1
-0.67042649,-32.44440842,21.00000000,1
45.98764801,62.10356522,8.16548824,1
-56.87122345,-67.15765381,3.70094013,1
37.93741989,67.05307007,14.40948486,1
61.74669647,83.31331635,7.06231117,1
2.73530316,-58.77921295,2.07507515,1
